Contrail_Age_hours,LW_Radiative_Forcing_W_m2
0.0,45.18730000000002
0.142930066,5.912399999999991
0.34204362,3.1756000000000313
0.487104941,2.721400000000017
0.678917815,2.515100000000018
0.860119765,2.5679000000000087
1.025904131,2.492999999999995
1.286370597,2.4300999999999817
1.543980276,2.362099999999998
1.792656825,2.2449000000000296
2.053767202,2.1111999999999966
2.290009924,2.063500000000033
2.497240382,1.984700000000032
2.858601327,1.8127999999999815
3.118931756,1.6697000000000344
3.367608305,1.5305000000000177
3.533392672,1.4580000000000268
3.805513017,1.343400000000031
4.155084045,1.159400000000005
4.320868412,1.0774999999999864
4.555895865,1.0113000000000056
4.788157223,0.9404999999999859
5.252679939,0.8419999999999845
5.66360388,0.7977000000000203
6.128126595,0.7235000000000014
6.558957357,0.6381999999999834
6.842776927,0.5833999999999833
7.18064873,0.53449999999998
7.42932528,0.5027000000000044
7.595109646,0.47939999999999827
7.843287392,0.4519000000000233
8.21680102,0.4334999999999809
8.465477569,0.42210000000000036
8.631261936,0.41390000000001237
8.861664114,0.39920000000000755
9.252953309,0.3824999999999932
9.501629859,0.36950000000001637
9.646691179,0.36009999999998854
9.880040837,0.3410000000000082
10.13016845,0.32260000000002265
10.49633606,0.29710000000000036
10.64139738,0.297300000000007
10.84481879,0.28350000000000364
11.15947352,0.27359999999998763
11.40815007,0.2785999999999831
11.55321139,0.28860000000003083
11.7381317,0.30520000000001346
12.02984145,0.410000000000025
