Contrail_Age_hours,SW_Radiative_Forcing_W_m2
0.0,486.09000000000015
0.142930066,45.72999999999956
0.34204362,24.279999999998836
0.487104941,20.919999999998254
0.678917815,19.520000000000437
0.860119765,20.13000000000102
1.025904131,19.709999999999127
1.286370597,19.43999999999869
1.543980276,19.06999999999971
1.792656825,18.220000000001164
2.053767202,17.18000000000029
2.290009924,16.840000000000146
2.497240382,16.200000000000728
2.858601327,14.779999999998836
3.118931756,13.579999999998108
3.367608305,12.409999999999854
3.533392672,11.790000000000873
3.805513017,10.829999999998108
4.155084045,9.290000000000873
4.320868412,8.610000000000582
4.555895865,8.049999999999272
4.788157223,7.450000000000728
5.252679939,6.599999999998545
5.66360388,6.209999999999127
6.128126595,5.5900000000001455
6.558957357,4.889999999999418
6.842776927,4.459999999999127
7.18064873,4.069999999999709
7.42932528,3.819999999999709
7.595109646,3.6300000000010186
7.843287392,3.4199999999982538
8.21680102,3.2700000000004366
8.465477569,3.180000000000291
8.631261936,3.1199999999989814
8.861664114,3.0099999999983993
9.252953309,2.8800000000010186
9.501629859,2.779999999998836
9.646691179,2.709999999999127
9.880040837,2.5599999999976717
10.13016845,2.4099999999998545
10.49633606,2.209999999999127
10.64139738,2.209999999999127
10.84481879,2.099999999998545
11.15947352,2.0200000000004366
11.40815007,2.0599999999976717
11.55321139,2.1300000000010186
11.7381317,2.25
12.02984145,3.0
