Contrail_Age_hours,SW_Radiative_Forcing_W_m2
0.0,446.8100000000013
0.142930066,41.27000000000044
0.34204362,21.580000000001746
0.487104941,18.87000000000262
0.678917815,17.610000000000582
0.860119765,17.909999999999854
1.025904131,17.530000000002474
1.286370597,17.290000000000873
1.543980276,16.970000000001164
1.792656825,16.209999999999127
2.053767202,15.299999999999272
2.290009924,15.209999999999127
2.497240382,14.639999999999418
2.858601327,13.350000000002183
3.118931756,12.270000000000437
3.367608305,11.209999999999127
3.533392672,10.650000000001455
3.805513017,9.780000000002474
4.155084045,8.389999999999418
4.320868412,7.770000000000437
4.555895865,7.270000000000437
4.788157223,6.720000000001164
5.252679939,5.959999999999127
5.66360388,5.600000000002183
6.128126595,5.040000000000873
6.558957357,4.4099999999998545
6.842776927,4.010000000002037
7.18064873,3.6599999999998545
7.42932528,3.4400000000023283
7.595109646,3.220000000001164
7.843287392,3.030000000002474
8.21680102,2.900000000001455
8.465477569,2.819999999999709
8.631261936,2.7700000000004366
8.861664114,2.6700000000018917
9.252953309,2.5499999999992724
9.501629859,2.459999999999127
9.646691179,2.400000000001455
9.880040837,2.2600000000020373
10.13016845,2.139999999999418
10.49633606,1.9599999999991269
10.64139738,1.9900000000016007
10.84481879,1.889999999999418
11.15947352,1.8100000000013097
11.40815007,1.8500000000021828
11.55321139,1.9099999999998545
11.7381317,2.0200000000004366
12.02984145,2.6900000000023283
