Contrail_Age_hours,LW_Radiative_Forcing_W_m2
0.0,46.49680000000001
0.142930066,6.226200000000006
0.34204362,3.1317000000000235
0.487104941,2.876800000000003
0.678917815,2.65949999999998
0.860119765,2.470700000000022
1.025904131,2.3987000000000194
1.286370597,2.3430000000000177
1.543980276,2.277500000000032
1.792656825,2.164600000000007
2.053767202,2.0357999999999947
2.290009924,2.1838000000000193
2.497240382,2.100599999999986
2.858601327,1.9191000000000145
3.118931756,1.7678999999999974
3.367608305,1.620900000000006
3.533392672,1.5441999999999894
3.805513017,1.4230000000000018
4.155084045,1.228400000000022
4.320868412,1.1417999999999893
4.555895865,1.071799999999996
4.788157223,0.9967000000000326
5.252679939,0.8923000000000343
5.66360388,0.8453000000000088
6.128126595,0.7667000000000144
6.558957357,0.6761999999999944
6.842776927,0.6181000000000267
7.18064873,0.5663000000000125
7.42932528,0.5326000000000022
7.595109646,0.4630000000000223
7.843287392,0.43650000000002365
8.21680102,0.4187000000000012
8.465477569,0.4077000000000339
8.631261936,0.39980000000002747
8.861664114,0.3856000000000108
9.252953309,0.36950000000001637
9.501629859,0.356899999999996
9.646691179,0.34789999999998145
9.880040837,0.3294999999999959
10.13016845,0.3117000000000303
10.49633606,0.28710000000000946
10.64139738,0.31389999999998963
10.84481879,0.29939999999999145
11.15947352,0.28899999999998727
11.40815007,0.2943000000000211
11.55321139,0.3050000000000068
11.7381317,0.3224999999999909
12.02984145,0.43319999999999936
