Contrail_Age_hours,SW_Radiative_Forcing_W_m2
0.0,0.0
0.142930066,0.0
0.34204362,0.0
0.487104941,0.0
0.678917815,0.0
0.860119765,0.0
1.025904131,0.0
1.286370597,0.0
1.543980276,0.0
1.792656825,0.0
2.053767202,0.0
2.290009924,0.0
2.497240382,0.0
2.858601327,0.0
3.118931756,0.0
3.367608305,0.0
3.533392672,0.0
3.805513017,0.0
4.155084045,0.0
4.320868412,0.0
4.555895865,0.0
4.788157223,0.0
5.252679939,0.0
5.66360388,0.0
6.128126595,0.0
6.558957357,0.0
6.842776927,0.0
7.18064873,0.0
7.42932528,0.0
7.595109646,0.0
7.843287392,0.0
8.21680102,0.0
8.465477569,0.0
8.631261936,0.0
8.861664114,0.0
9.252953309,0.0
9.501629859,0.0
9.646691179,0.0
9.880040837,0.0
10.13016845,0.0
10.49633606,0.0
10.64139738,0.0
10.84481879,0.0
11.15947352,0.0
11.40815007,0.0
11.55321139,0.0
11.7381317,0.0
12.02984145,0.0
