Contrail_Age_hours,SW_Radiative_Forcing_W_m2
0.0,482.90000000000146
0.142930066,45.60000000000218
0.34204362,24.209999999999127
0.487104941,20.860000000000582
0.678917815,19.459999999999127
0.860119765,20.080000000001746
1.025904131,19.650000000001455
1.286370597,19.38000000000102
1.543980276,19.020000000000437
1.792656825,18.17000000000189
2.053767202,17.139999999999418
2.290009924,16.790000000000873
2.497240382,16.150000000001455
2.858601327,14.7400000000016
3.118931756,13.540000000000873
3.367608305,12.369999999998981
3.533392672,11.760000000002037
3.805513017,10.799999999999272
4.155084045,9.260000000002037
4.320868412,8.590000000000146
4.555895865,8.029999999998836
4.788157223,7.430000000000291
5.252679939,6.580000000001746
5.66360388,6.18999999999869
6.128126595,5.569999999999709
6.558957357,4.880000000001019
6.842776927,4.43999999999869
7.18064873,4.06000000000131
7.42932528,3.8100000000013097
7.595109646,3.6199999999989814
7.843287392,3.4099999999998545
8.21680102,3.2700000000004366
8.465477569,3.180000000000291
8.631261936,3.110000000000582
8.861664114,3.0
9.252953309,2.8699999999989814
9.501629859,2.7700000000004366
9.646691179,2.7000000000007276
9.880040837,2.5499999999992724
10.13016845,2.4099999999998545
10.49633606,2.2000000000007276
10.64139738,2.2000000000007276
10.84481879,2.0900000000001455
11.15947352,2.0100000000020373
11.40815007,2.0499999999992724
11.55321139,2.1300000000010186
11.7381317,2.2400000000016007
12.02984145,2.9900000000016007
