Contrail_Age_hours,EF_J_m
0.0,8250179.29789514
0.1666666666666666,19545470.606632423
0.3333333333333333,32962579.744598664
0.5,50937334.737434305
0.6666666666666666,73896278.21874915
0.8333333333333333,101602137.35066234
1.0,132831262.24937227
1.1666666666666663,166402512.34169447
1.3333333333333333,202158612.57315448
1.5,239984060.22431985
1.6666666666666663,279018541.08959925
1.8333333333333333,318340563.42641586
2.0,357767111.4399158
2.1666666666666665,397387955.50043714
2.333333333333333,437531036.0984318
2.5,477935045.7352114
2.6666666666666665,518211466.9056134
2.833333333333333,558410134.4852048
3.0,598640438.2407207
3.1666666666666665,638748279.7733715
3.333333333333333,678369254.5382135
3.5,717199907.2234535
3.6666666666666665,755072049.191875
3.833333333333333,791835285.8374982
4.0,827386953.2307062
4.166666666666666,861759766.3835921
4.333333333333333,894945534.4963471
4.5,926983840.8767579
4.666666666666666,958101505.4242525
4.833333333333333,988322432.7018677
5.0,1017572441.1417501
5.166666666666666,1046021535.2922753
5.333333333333333,1073964243.1045861
5.5,1101388694.4136715
5.666666666666666,1128063023.731352
5.833333333333333,1153967739.6403065
6.0,1179180940.764593
6.166666666666666,1203528104.7912366
6.333333333333333,1226757455.2081742
6.5,1248731588.4446268
6.666666666666666,1269392190.1146028
6.833333333333333,1288712246.6812859
7.0,1306654402.8170476
7.166666666666666,1323283018.1787539
7.333333333333333,1338648135.4648416
7.5,1352837724.9324458
7.666666666666666,1366006804.8584337
7.833333333333333,1378121274.3151157
8.0,1389119941.3510263
8.166666666666666,1399057203.3354344
8.333333333333332,1408055844.1617987
8.5,1416149158.8918345
8.666666666666666,1423327149.0686345
8.833333333333332,1429751162.502044
9.0,1435427752.9618478
9.166666666666666,1440176962.4820433
9.333333333333332,1444030541.2656024
9.5,1447184762.9716775
9.666666666666666,1449764105.91015
9.833333333333332,1451759119.7545273
10.0,1453264156.6305943
10.166666666666666,1454391011.45069
10.333333333333332,1454391011.45069
