Contrail_Age_hours,EF_J_m
0.0,-17636072.797044996
0.1666666666666666,-26884600.305675212
0.3333333333333333,-33784982.7544204
0.5,-40982199.45547679
0.6666666666666666,-48428763.14948736
0.8333333333333333,-56264352.00453063
1.0,-63677120.6814263
1.1666666666666663,-70361704.55146971
1.3333333333333333,-76656598.44215505
1.5,-82591405.22064947
1.6666666666666663,-87893714.56886311
1.8333333333333333,-92300780.83780208
2.0,-95858221.35513543
2.1666666666666665,-98694722.61479129
2.333333333333333,-101021249.79738982
2.5,-102835287.6878486
2.6666666666666665,-104096595.49924748
2.833333333333333,-104894088.95513985
3.0,-105320421.22827627
3.1666666666666665,-105357071.28261845
3.333333333333333,-104970150.08862548
3.5,-104200093.2188874
3.6666666666666665,-103109586.79487112
3.833333333333333,-101733300.86619973
4.0,-100091002.88650933
4.166666666666666,-98230359.35957833
4.333333333333333,-96184803.86136475
4.5,-93960957.31714346
4.666666666666666,-91574016.86594158
4.833333333333333,-89039429.72259988
5.0,-86381491.49362592
5.166666666666666,-83655732.78185084
5.333333333333333,-80927306.21844845
5.5,-78229876.61084992
5.666666666666666,-75570057.18167797
5.833333333333333,-72956137.38470785
6.0,-70393078.04371111
6.166666666666666,-67886420.40003747
6.333333333333333,-65445371.004268
6.5,-63080348.53396152
6.666666666666666,-60802385.78921027
6.833333333333333,-58613382.99420977
7.0,-56513548.36874579
7.166666666666666,-54509366.471604094
7.333333333333333,-52605295.56626192
7.5,-50805904.32899628
7.666666666666666,-49111869.74548117
7.833333333333333,-47517495.549463116
8.0,-46022163.761302404
8.166666666666666,-44630516.25284613
8.333333333333332,-43348200.96157435
8.5,-42177745.414749324
8.666666666666666,-41118642.965082355
8.833333333333332,-40160369.13294255
9.0,-39309400.00928144
9.166666666666666,-38592404.9288973
9.333333333333332,-38008069.972803675
9.5,-37544339.86334068
9.666666666666666,-37195605.616936855
9.833333333333332,-36949997.42889723
10.0,-36797690.85800001
10.166666666666666,-36731672.42274143
10.333333333333332,-36731672.42274143
