Contrail_Age_hours,EF_J_m
0.0,8431066.159863936
0.1666666666666666,20284726.150625672
0.3333333333333333,34369383.47886757
0.5,53019903.90513227
0.6666666666666666,76569090.16472358
0.8333333333333333,104751438.72000915
1.0,136328814.49615714
1.1666666666666663,170254427.96100664
1.3333333333333333,206506847.75785056
1.5,244971444.3263953
1.6666666666666663,284779588.4063683
1.8333333333333333,325000697.344296
2.0,365462418.2228726
2.1666666666666665,406196914.02502817
2.333333333333333,447457794.14399135
2.5,488976065.81952393
2.6666666666666665,530351618.198639
2.833333333333333,571637377.6705177
3.0,612948422.6935569
3.1666666666666665,654129005.4993345
3.333333333333333,694810865.6106128
3.5,734689918.2378278
3.6666666666666665,773600554.768862
3.833333333333333,811387818.6811202
4.0,847942075.4448781
4.166666666666666,883297034.0105606
4.333333333333333,917441808.9900311
4.5,950409430.3711236
4.666666666666666,982427069.4136015
4.833333333333333,1013542835.3651115
5.0,1043713624.3698595
5.166666666666666,1073117691.2511172
5.333333333333333,1102050415.2028518
5.5,1130495288.40945
5.666666666666666,1158214021.0943642
5.833333333333333,1185175865.736801
6.0,1211451591.4917946
6.166666666666666,1236861134.805021
6.333333333333333,1261142930.2677042
6.5,1284147247.2333229
6.666666666666666,1305788227.7717748
6.833333333333333,1326000152.3931599
7.0,1344724104.7479641
7.166666666666666,1362039470.1880653
7.333333333333333,1378005635.2600822
7.5,1392728524.45457
7.666666666666666,1406385085.7303066
7.833333333333333,1418920714.1248462
8.0,1430257824.3290691
8.166666666666666,1440466090.0807047
8.333333333333332,1449700510.0132842
8.5,1458002320.5321882
8.666666666666666,1465354634.0473173
8.833333333333332,1471931329.7429802
9.0,1477752750.7668903
9.166666666666666,1482648745.968483
9.333333333333332,1486651322.2907116
9.5,1489935427.258515
9.666666666666666,1492609736.6510568
9.833333333333332,1494676382.6046357
10.0,1496224070.3679962
10.166666666666666,1497379812.5728035
10.333333333333332,1497379812.5728035
