Time_hours,IWC_g_per_m3,Depth_m,Width_m,Effective_radius_um,Ice_mass,Ice_number,Ice_surface_area,Mean_altitude_m,Area_m2
0.0,0.32416678808957244,100.0,10.0,5.8,0.2546,588000000000.0,178.0,10689.269901824553,785.3981633974482
0.16666666666666666,0.011811536245142263,139.23076923076923,382.41110651414897,5.253880358973851,0.49392611405494624,568133859924.9436,197.06435962936808,10685.84445416708,41817.26270010672
0.3333333333333333,0.00693065379522452,178.46153846153845,754.8222130282979,5.790850213316232,0.7332522281098924,548267719849.8871,231.03320100481588,10682.419006509606,105798.42101117944
0.5,0.006206039610013651,217.69230769230768,1127.233319542447,6.621025945322538,1.1960830204308903,525938756088.61835,289.7228906930923,10678.993558852131,192728.87309661554
0.6666666666666666,0.005854203841812342,256.9230769230769,1499.6444260565959,7.636220631029744,1.7715325396601722,500376067180.6603,366.6490131600238,10675.568111194658,302608.6189564151
0.8333333333333333,0.0055611532127125135,296.15384615384613,1872.0555325707446,8.714941751950741,2.421535534007008,474813378272.70215,453.1572994330235,10672.142663537183,435437.65859057807
1.0,0.00515868518668308,335.38461538461536,2244.466639084894,9.512502816658031,3.0498971800559227,454661779022.0633,516.9816151829684,10668.71721587971,591215.9919991045
1.1666666666666665,0.0044437042625832795,374.6153846153846,2616.8777455990426,10.113258025312858,3.4214017425078254,438423453372.233,563.4728686959457,10665.291768222234,769943.6191819942
1.3333333333333333,0.0039036909454550532,413.8461538461538,2989.2888521131918,10.681541678020675,3.7929063049597285,422185127722.4026,605.2960844499872,10660.955794852718,971620.5401392475
1.5,0.0034812306494918623,453.0769230769231,3361.6999586273405,11.142664481257622,4.164410867411632,410291889454.17847,640.1298725194715,10655.941733787784,1196246.7548708643
1.6666666666666665,0.0031321532375023645,492.30769230769226,3734.1110651414892,11.51462238889857,4.522272576613775,400004359797.0172,666.4401919345873,10650.927672722848,1443822.2633768443
1.8333333333333333,0.0027059964602597175,531.5384615384615,4106.522171655639,11.840854713440809,4.639017091324985,389716830139.856,686.6134738224172,10645.913611657914,1714347.0656571882
2.0,0.002368618130302686,570.7692307692307,4478.933278169788,12.139725028896954,4.755761606036195,376503299018.8258,697.2420017234194,10639.858467374803,2007821.161711895
2.1666666666666665,0.0022713472663174914,563.5460041843568,4851.344384683936,12.502306247776199,4.877136379066212,362186086833.3604,711.3921756966937,10632.635240789929,2147243.819292087
2.333333333333333,0.0021978491497143286,556.3227775994828,5223.755491198085,12.884299361344706,5.016461053654636,347956464015.3348,725.8444794109497,10625.412014205054,2282441.0193514256
2.5,0.0021363049908651494,549.0995510146089,5596.166597712235,13.210689400903124,5.155785728243059,336449828895.5047,737.8504236143782,10618.18878762018,2413412.7618899094
