Contrail_Age_hours,EF_J_m
0.0,10309111.580043135
0.1666666666666666,32979039.87017733
0.3333333333333333,65891461.25237742
0.5,110596175.46794495
0.6666666666666666,167725019.9707433
0.8333333333333333,235789039.5041653
1.0,312890924.4690259
1.1666666666666663,398020180.69436574
1.3333333333333333,489764646.2024802
1.5,587355180.8075264
1.6666666666666663,689895939.71041
1.8333333333333333,796279497.6562765
2.0,905877672.2087017
2.1666666666666665,1018428281.426318
2.333333333333333,1134029284.229075
2.5,1252706057.2952542
2.6666666666666665,1373620882.832259
2.833333333333333,1495878166.3376997
3.0,1619238187.6147382
3.1666666666666665,1743358352.5662599
3.333333333333333,1867856659.8336973
3.5,1992212090.582139
3.6666666666666665,2115743383.1875935
3.833333333333333,2238016414.4327965
4.0,2358750379.6932335
4.166666666666666,2477608497.04592
4.333333333333333,2594299290.2466393
4.5,2708943572.7202773
4.666666666666666,2821812129.2164607
4.833333333333333,2932843881.187567
5.0,3042212304.383264
5.166666666666666,3150223650.064829
5.333333333333333,3256865016.720679
5.5,3362167332.629955
5.666666666666666,3465836627.884122
5.833333333333333,3567250578.638871
6.0,3665654257.4483204
6.166666666666666,3760614231.6868377
6.333333333333333,3852133548.3590646
6.5,3940269373.988161
6.666666666666666,4025094513.2954483
6.833333333333333,4106470461.957061
7.0,4184033572.7126317
7.166666666666666,4257615933.196474
7.333333333333333,4327265217.236272
7.5,4393104939.0842285
7.666666666666666,4455212336.885692
7.833333333333333,4513779906.600228
8.0,4569191982.308713
8.166666666666666,4621597641.748246
8.333333333333332,4670776926.440238
8.5,4716575029.612392
8.666666666666666,4759104955.893881
8.833333333333332,4798389503.684144
9.0,4834352690.364754
9.166666666666666,4867083589.458965
9.333333333333332,4896639683.988983
9.5,4923044188.866695
9.666666666666666,4946398061.157189
9.833333333333332,4966704767.134478
10.0,4984007204.198634
10.166666666666666,4998564400.104112
10.333333333333332,5010918269.185737
10.5,5021327349.94683
10.666666666666666,5029976802.664591
10.833333333333332,5042382382.193267
11.0,5055869150.148037
11.166666666666666,5065545038.306849
11.333333333333332,5065545038.306849
