Contrail_Age_hours,EF_J_m
0.0,-33723127.70242549
0.1666666666666666,-76645341.07456875
0.3333333333333333,-119778381.46457453
0.5,-173011482.92482513
0.6666666666666666,-238377859.96393868
0.8333333333333333,-311183046.643939
1.0,-386345428.14252716
1.1666666666666663,-461962336.7844737
1.3333333333333333,-535318648.7796917
1.5,-605923141.9433616
1.6666666666666663,-673178209.012016
1.8333333333333333,-736164687.6621593
2.0,-794967527.8316001
2.1666666666666665,-850066598.0841733
2.333333333333333,-902338211.1831921
2.5,-952130467.2514606
2.6666666666666665,-998678591.6548078
2.833333333333333,-1041496019.0731484
3.0,-1080852895.7258828
3.1666666666666665,-1116860550.8778048
3.333333333333333,-1149583291.664759
3.5,-1178982894.774179
3.6666666666666665,-1204992992.5106053
3.833333333333333,-1227745627.8418987
4.0,-1247420529.0407236
4.166666666666666,-1264143158.6648517
4.333333333333333,-1278083814.6087277
4.5,-1289564247.4859765
4.666666666666666,-1298919497.7016704
4.833333333333333,-1306309405.2005088
5.0,-1311959393.0099008
5.166666666666666,-1316100632.2628772
5.333333333333333,-1318849295.4415119
5.5,-1320311573.505158
5.666666666666666,-1320891542.9537668
5.833333333333333,-1321148861.9332938
6.0,-1321205929.3118615
6.166666666666666,-1320979450.192208
6.333333333333333,-1320477175.7857296
6.5,-1319724219.9546757
6.666666666666666,-1318753832.0734777
6.833333333333333,-1317560854.1057425
7.0,-1316108432.3733273
7.166666666666666,-1314394435.8610904
7.333333333333333,-1312487933.8686237
7.5,-1310461320.478708
7.666666666666666,-1308338484.7625213
7.833333333333333,-1306151724.6004848
8.0,-1303953385.8454735
8.166666666666666,-1301762184.7233136
8.333333333333332,-1299552762.744387
8.5,-1297311832.2274969
8.666666666666666,-1295066498.0720277
8.833333333333332,-1292832389.9207392
9.0,-1290611834.1324856
9.166666666666666,-1288420348.7820828
9.333333333333332,-1286272837.1793413
9.5,-1284187183.3878462
9.666666666666666,-1282192889.8315058
9.833333333333332,-1280305016.681583
10.0,-1278531663.4587648
10.166666666666666,-1276904943.1537833
10.333333333333332,-1275477251.3129182
10.5,-1274273555.6139905
10.666666666666666,-1273298381.4967208
10.833333333333332,-1273839622.896715
11.0,-1275720347.272977
11.166666666666666,-1278217485.0265062
11.333333333333332,-1278217485.0265062
