time_hr,Z_m
0.5541568822254335,-22.11951054
1.2378070809248536,-36.17035837
1.9214572796242757,-56.73754143
2.6051074783236987,-86.36650317
3.288757677,-115.0587417
3.972407875722542,-142.4545011
4.642246959296723,-178.3456308
5.259801107039635,-211.4714123
5.836908417630056,-235.1513091
6.613783643424854,-272.8151449
7.4528088872832345,-317.8887261
8.198609104046241,-363.1863064
8.913334311777456,-419.8705037
9.503759483,-483.7902251
10.032034636921964,-544.7499593
10.902134889812137,-579.4378081
11.92761018786127,-590.4661236
12.922010476878611,-594.3351977
13.978560783959537,-595.3533751
15.004036082008668,-599.405721
16.02951138,-600.036991
17.11713669617052,-603.2137044
18.08046197615607,-604.1097005
19.13701228323699,-607.5715036
19.91388750903179,-608.589681
