1.278276533,5340872877
1.328753702,5854058171
1.383244219,6474622691
1.439969324,7155099245
1.496284702,7858276235
1.554802503,8667923842
1.616199258,9562166857
1.675117074,10550396841
1.73808678,11640758332
1.802764806,12816794365
1.866436871,14083375703
1.932357776,15481330163
2.007929844,17179653083
2.082649323,19101503497
2.152271242,21084057355
2.228287566,23371751726
2.31120704,26075740613
2.388469528,28751151080
2.460436392,31495548868
2.535858186,34458699186
2.62169474,37889292198
2.714290688,41863088879
2.815295405,46580171690
2.914729159,51458581381
3.012167088,56506042673
3.112862318,62214703602
3.222805872,68897263231
3.336632536,76116790056
3.470292377,85697114498
3.583028224,93732612123
3.709577624,1.03965E+11
3.833586937,1.14297E+11
3.971887169,1.26622E+11
4.139303851,1.38558E+11
4.309051492,1.49357E+11
4.489039351,1.61163E+11
4.669715652,1.7327E+11
4.861214813,1.86614E+11
5.060567114,1.99843E+11
5.272373625,2.08789E+11
5.502195619,2.16571E+11
5.72992687,2.2453E+11
5.951842066,2.31107E+11
6.227188031,2.41095E+11
6.45455629,2.45241E+11
6.729248777,2.42627E+11
6.979658902,2.42063E+11
7.454111859,2.35857E+11
7.759795604,2.33834E+11
8.095743039,2.29238E+11
8.38627237,2.2289E+11
8.790768685,2.12013E+11
9.139810601,2.03958E+11
9.508541125,1.94347E+11
9.868682736,1.87119E+11
10.22470469,1.79999E+11
10.78099427,1.67464E+11
11.26941406,1.58212E+11
11.80164227,1.50105E+11
12.31521313,1.41171E+11
12.86105888,1.32702E+11
13.398961,1.2455E+11
14.08214169,1.14526E+11
14.66037652,1.07463E+11
15.29926491,1.00039E+11
15.95495757,93638018032
16.55155603,87718094091
17.24080997,80451874510
18.00256313,74905569112
18.59531877,71129147889
19.64287486,64060765665
20.46548845,59293123807
21.41959707,53725429287
22.27559503,49423451017
23.24513571,45173865735
24.4484912,40616644365
25.47900518,37112335104
26.3083176,34320791074
27.87512346,29484556160
28.94261548,26836720651
30.09807989,24176082221
31.31964711,21738711924
32.40609,20003031982
34.20388538,17842698383
35.60654366,16408363775
37.0667232,15163363569
38.58678286,14005934140
40.22792687,12932961729
41.81646569,12486458992
43.71060389,12171083498
44.82247068,12101275539
47.17484181,11731822885
50.01481148,11381115567
53.53948674,11207077773
58.71599481,11109263789
62.27365049,11127264037
64.1648258,11207077773
65.30286332,10768098670
67.73292627,9818299909
70.25341721,8949694684
73.13442142,8075328589
76.13357199,7287382387
79.11105966,6574611678
81.45754061,6006466204
83.110995,5301981335
