Contrail_Age_hours,EF_J_m
0.0,2013766.6418997287
0.1666666666666666,4031280.5395178087
0.3333333333333333,6455630.582447136
0.5,9780730.945663534
0.6666666666666666,14085411.400667518
0.8333333333333333,19477899.327659935
1.0,25982203.10066054
1.1666666666666663,33712927.278819256
1.3333333333333333,42780691.12051219
1.5,53178146.2379352
1.6666666666666663,64951627.44443815
1.8333333333333333,78248875.38797866
2.0,93168549.12275217
2.1666666666666665,109733249.62454218
2.333333333333333,127968523.2068646
2.5,147868102.9232707
2.6666666666666665,169426664.81586245
2.833333333333333,192583176.1762832
3.0,217205153.0524129
3.1666666666666665,243115434.1807025
3.333333333333333,270175991.37898046
3.5,298356061.5185467
3.6666666666666665,327653393.39821553
3.833333333333333,357826281.7894737
4.0,388488433.5668797
4.166666666666666,419515203.6986296
4.333333333333333,450925002.2837721
4.5,482720149.62338114
4.666666666666666,514889929.10054106
4.833333333333333,547395932.0086042
5.0,580157427.9831452
5.166666666666666,613160051.2240803
5.333333333333333,646446439.7096642
5.5,680027994.2314422
5.666666666666666,713850834.5958302
5.833333333333333,747791188.8138882
6.0,781775622.6368095
6.166666666666666,816220220.5103811
6.333333333333333,851723904.4880229
6.5,888529863.4813278
6.666666666666666,926643083.0667964
6.833333333333333,965612841.3005717
7.0,1005026759.5609897
7.166666666666666,1044582064.5114971
7.333333333333333,1083569642.0723748
7.5,1121612501.7510207
7.666666666666666,1158796751.268072
7.833333333333333,1195262362.409719
8.0,1231059863.3622935
8.166666666666666,1266267766.9100246
8.333333333333332,1301093873.4957023
8.5,1335661288.7061558
8.666666666666666,1369997156.7385588
8.833333333333332,1404132953.8962028
9.0,1438074900.9925458
9.166666666666666,1471831101.342283
9.333333333333332,1505447125.4563818
9.5,1538950950.448034
9.666666666666666,1572229619.5709257
9.833333333333332,1605041448.9847095
10.0,1637253510.15797
10.166666666666666,1668870401.4752614
10.333333333333332,1699922838.0541968
10.5,1730440260.7272213
10.666666666666666,1760597972.4158163
10.833333333333332,1791162016.8108637
11.0,1822728502.682287
11.166666666666666,1854699103.4004052
11.333333333333332,1886447037.7815285
11.5,1917958247.389899
