Effective Radius [µm], Depth [m], IWC [g/m³], SW RF [W/m²]
4.613169e+00,7.139425e+01,2.080435e-03,-5.090100e+00
4.613169e+00,6.448123e+01,2.080435e-03,-4.648600e+00
4.613169e+00,5.574954e+01,2.080435e-03,-4.144300e+00
4.613169e+00,4.413261e+01,2.080435e-03,-3.388500e+00
4.613169e+00,2.601645e+01,2.080435e-03,-2.256300e+00
5.386476e+00,2.989955e+01,2.061656e-03,-2.356900e+00
5.386476e+00,5.071963e+01,2.061656e-03,-3.598700e+00
5.386476e+00,6.407046e+01,2.061656e-03,-4.368500e+00
5.386476e+00,7.410539e+01,2.061656e-03,-4.961000e+00
5.386476e+00,8.205022e+01,2.061656e-03,-5.435400e+00
5.386476e+00,8.846983e+01,2.061656e-03,-5.791200e+00
5.386476e+00,9.367832e+01,2.061656e-03,-6.147200e+00
5.386476e+00,9.786924e+01,2.061656e-03,-6.384600e+00
5.386476e+00,1.011691e+02,2.061656e-03,-6.562600e+00
5.386476e+00,1.036631e+02,2.061656e-03,-6.740700e+00
5.386476e+00,1.054084e+02,2.061656e-03,-6.800000e+00
5.386476e+00,1.064418e+02,2.061656e-03,-6.859400e+00
5.386476e+00,1.067841e+02,2.061656e-03,-6.918700e+00
5.386476e+00,1.064418e+02,2.061656e-03,-6.859400e+00
5.386476e+00,1.054084e+02,2.061656e-03,-6.800000e+00
5.386476e+00,1.036631e+02,2.061656e-03,-6.740700e+00
5.386476e+00,1.011691e+02,2.061656e-03,-6.562600e+00
5.386476e+00,9.786924e+01,2.061656e-03,-6.384600e+00
5.386476e+00,9.367832e+01,2.061656e-03,-6.147200e+00
5.386476e+00,8.846983e+01,2.061656e-03,-5.791200e+00
5.386476e+00,8.205022e+01,2.061656e-03,-5.435400e+00
5.386476e+00,7.410539e+01,2.061656e-03,-4.961000e+00
5.386476e+00,6.407046e+01,2.061656e-03,-4.368500e+00
5.386476e+00,5.071963e+01,2.061656e-03,-3.598700e+00
5.386476e+00,2.989955e+01,2.061656e-03,-2.356900e+00
6.143543e+00,3.409228e+01,2.048050e-03,-2.293900e+00
6.143543e+00,5.783192e+01,2.048050e-03,-3.549200e+00
6.143543e+00,7.305490e+01,2.048050e-03,-4.334800e+00
6.143543e+00,8.449700e+01,2.048050e-03,-4.911200e+00
6.143543e+00,9.355591e+01,2.048050e-03,-5.435500e+00
6.143543e+00,1.008757e+02,2.048050e-03,-5.802700e+00
6.143543e+00,1.068146e+02,2.048050e-03,-6.117400e+00
6.143543e+00,1.115932e+02,2.048050e-03,-6.379700e+00
6.143543e+00,1.153558e+02,2.048050e-03,-6.537100e+00
6.143543e+00,1.181995e+02,2.048050e-03,-6.694600e+00
