Effective Radius [µm], Depth [m], IWC [g/m³], LW RF [W/m²]
7.010686e+00,4.413261e+01,8.884602e-04,1.086300e+00
6.757710e+00,2.601645e+01,6.959690e-04,5.900000e-01
7.890473e+00,2.989955e+01,6.896768e-04,5.769000e-01
8.185884e+00,5.071963e+01,8.804370e-04,1.082800e+00
7.713701e+00,6.407046e+01,1.067750e-03,1.643100e+00
7.160208e+00,7.410539e+01,1.276180e-03,2.339500e+00
6.643367e+00,8.205022e+01,1.502106e-03,3.164500e+00
6.193728e+00,8.846983e+01,1.738970e-03,4.052500e+00
5.816686e+00,9.367832e+01,1.977964e-03,5.029700e+00
5.509483e+00,9.786924e+01,2.208521e-03,5.954100e+00
5.267073e+00,1.011691e+02,2.419047e-03,6.801700e+00
5.084345e+00,1.036631e+02,2.597878e-03,7.573700e+00
4.956998e+00,1.054084e+02,2.734370e-03,8.058800e+00
4.881868e+00,1.064418e+02,2.819974e-03,8.358800e+00
4.857038e+00,1.067841e+02,2.849148e-03,8.505600e+00
4.881868e+00,1.064418e+02,2.819974e-03,8.358800e+00
4.956998e+00,1.054084e+02,2.734370e-03,8.058800e+00
5.084345e+00,1.036631e+02,2.597878e-03,7.573700e+00
5.267073e+00,1.011691e+02,2.419047e-03,6.801700e+00
5.509483e+00,9.786924e+01,2.208521e-03,5.954100e+00
5.816686e+00,9.367832e+01,1.977964e-03,5.029700e+00
6.193728e+00,8.846983e+01,1.738970e-03,4.052500e+00
6.643367e+00,8.205022e+01,1.502106e-03,3.164500e+00
7.160208e+00,7.410539e+01,1.276180e-03,2.339500e+00
7.713701e+00,6.407046e+01,1.067750e-03,1.643100e+00
8.185884e+00,5.071963e+01,8.804370e-04,1.082800e+00
7.890473e+00,2.989955e+01,6.896768e-04,5.769000e-01
8.999462e+00,3.409228e+01,6.851214e-04,5.711000e-01
9.336403e+00,5.783192e+01,8.746251e-04,1.078900e+00
8.797856e+00,7.305490e+01,1.060702e-03,1.663800e+00
8.166571e+00,8.449700e+01,1.267757e-03,2.358900e+00
7.577089e+00,9.355591e+01,1.492191e-03,3.194000e+00
7.064254e+00,1.008757e+02,1.727492e-03,4.136100e+00
6.634219e+00,1.068146e+02,1.964909e-03,5.147200e+00
6.283839e+00,1.115932e+02,2.193945e-03,6.157400e+00
6.007359e+00,1.153558e+02,2.403081e-03,7.048700e+00
5.798948e+00,1.181995e+02,2.580733e-03,7.854000e+00
5.653703e+00,1.201896e+02,2.716324e-03,8.467400e+00
5.568013e+00,1.213679e+02,2.801363e-03,8.842600e+00
5.539693e+00,1.217582e+02,2.830344e-03,9.012100e+00
5.568013e+00,1.213679e+02,2.801363e-03,8.842600e+00
5.653703e+00,1.201896e+02,2.716324e-03,8.467400e+00
5.798948e+00,1.181995e+02,2.580733e-03,7.854000e+00
6.007359e+00,1.153558e+02,2.403081e-03,7.048700e+00
6.283839e+00,1.115932e+02,2.193945e-03,6.157400e+00
6.634219e+00,1.068146e+02,1.964909e-03,5.147200e+00
7.064254e+00,1.008757e+02,1.727492e-03,4.136100e+00
7.577089e+00,9.355591e+01,1.492191e-03,3.194000e+00
8.166571e+00,8.449700e+01,1.267757e-03,2.358900e+00
8.797856e+00,7.305490e+01,1.060702e-03,1.663800e+00
