Longitude (degrees),Latitude (degrees),Altitude (feet),UTC time,True airspeed (m s-1),Mach Number,Aircraft mass (kg),Fuel mass flow rate (kg s-1),Overall propulsion efficiency,nvPM number emissions index (kg-1),ICAO Aircraft Type,Wingspan (m),Altitude (m),time
-45.75,45.0,36000,1751198400,237,0.7881598246071931,152281.72,1.36986,0.3,309378892733564.0,B767,47.25,10745.88,2025-06-29 12:00:00
-45.5,45.0,36000,1751198483,237,0.7881598246071931,152281.72,1.36986,0.3,309378892733564.0,B767,47.25,10745.88,2025-06-29 12:01:23
-45.25,45.0,36000,1751198566,237,0.7881598246071931,152281.72,1.36986,0.3,309378892733564.0,B767,47.25,10745.88,2025-06-29 12:02:46
