Contrail_Age_hours,SW_Radiative_Forcing_W_m2,SW_RF_CLEAR_W_m2,SW_RF_CONTRAIL_W_m2
0.0,-638.2317,876.1829,237.9512
0.1666666666666666,-234.46130000000005,876.1829,641.7216
0.3333333333333333,-129.95220000000006,876.1829,746.2307
0.5,-119.54280000000006,876.1829,756.6401
0.6666666666666666,-115.7396,876.1829,760.4433
0.8333333333333333,-114.06810000000007,876.1829,762.1148
1.0,-110.25099999999998,876.1829,765.9319
1.1666666666666663,-100.26660000000004,876.1829,775.9163
1.3333333333333333,-92.22090000000003,876.1829,783.962
1.5,-85.92719999999997,876.1829,790.2557
1.6666666666666663,-80.72829999999999,876.1829,795.4546
1.8333333333333333,-72.93880000000001,876.1829,803.2441
2.0,-66.3243,876.1829,809.8586
2.1666666666666665,-60.273000000000025,876.1829,815.9099
2.333333333333333,-56.18309999999997,876.1829,819.9998
2.5,-52.82720000000006,876.1829,823.3557
2.6666666666666665,-49.09820000000002,876.1829,827.0847
2.833333333333333,-45.69460000000004,876.1829,830.4883
3.0,-42.987100000000055,876.1829,833.1958
3.1666666666666665,-40.58590000000004,876.1829,835.597
3.333333333333333,-37.98950000000002,876.1829,838.1934
3.5,-35.21040000000005,876.1829,840.9725
3.6666666666666665,-32.67910000000006,876.1829,843.5038
3.833333333333333,-30.21760000000006,876.1829,845.9653
4.0,-27.846000000000004,876.1829,848.3369
4.166666666666666,-25.64160000000004,876.1829,850.5413
4.333333333333333,-23.72879999999998,876.1829,852.4541
4.5,-21.85800000000006,876.1829,854.3249
4.666666666666666,-20.282400000000052,876.1829,855.9005
4.833333333333333,-18.973700000000008,876.1829,857.2092
5.0,-17.60220000000004,876.1829,858.5807
5.166666666666666,-16.394800000000032,876.1829,859.7881
5.333333333333333,-15.498000000000047,876.1829,860.6849
5.5,-14.847800000000007,876.1829,861.3351
5.666666666666666,-14.07370000000003,876.1829,862.1092
5.833333333333333,-13.218399999999974,876.1829,862.9645
6.0,-12.516200000000026,876.1829,863.6667
6.166666666666666,-11.83770000000004,876.1829,864.3452
6.333333333333333,-11.038000000000011,876.1829,865.1449
6.5,-10.188800000000015,876.1829,865.9941
6.666666666666666,-9.34170000000006,876.1829,866.8412
6.833333333333333,-8.529600000000073,876.1829,867.6533
7.0,-7.726999999999975,876.1829,868.4559
7.166666666666666,-6.959799999999973,876.1829,869.2231
7.333333333333333,-6.3034000000000106,876.1829,869.8795
7.5,-5.663900000000012,876.1829,870.519
7.666666666666666,-5.134999999999991,876.1829,871.0479
7.833333333333333,-4.659600000000069,876.1829,871.5233
8.0,-4.147199999999998,876.1829,872.0357
8.166666666666666,-3.6620000000000346,876.1829,872.5209
8.333333333333332,-3.2309999999999945,876.1829,872.9519
8.5,-2.8758000000000266,876.1829,873.3071
8.666666666666666,-2.5067000000000235,876.1829,873.6762
8.833333333333332,-2.159999999999968,876.1829,874.0229
9.0,-1.9319000000000415,876.1829,874.251
9.166666666666666,-1.6330000000000382,876.1829,874.5499
9.333333333333332,-1.3021999999999707,876.1829,874.8807
9.5,-1.0393000000000256,876.1829,875.1436
9.666666666666666,-0.8566000000000713,876.1829,875.3263
9.833333333333332,-0.7180000000000746,876.1829,875.4649
10.0,-0.5380999999999858,876.1829,875.6448
10.166666666666666,-0.43439999999998236,876.1829,875.7485
10.333333333333332,-0.31790000000000873,876.1829,875.865
