Contrail_Age_hours,LW_Radiative_Forcing_W_m2,LW_RF_CLEAR_W_m2,LW_RF_CONTRAIL_W_m2
0.0,129.5073,-279.3515,-149.8442
0.1666666666666666,93.76249999999999,-279.3515,-185.589
0.3333333333333333,65.3474,-279.3515,-214.0041
0.5,63.1155,-279.3515,-216.236
0.6666666666666666,63.693599999999975,-279.3515,-215.6579
0.8333333333333333,64.01689999999999,-279.3515,-215.3346
1.0,63.326599999999985,-279.3515,-216.0249
1.1666666666666663,59.79799999999997,-279.3515,-219.5535
1.3333333333333333,56.5761,-279.3515,-222.7754
1.5,53.94879999999998,-279.3515,-225.4027
1.6666666666666663,51.68809999999999,-279.3515,-227.6634
1.8333333333333333,48.04299999999998,-279.3515,-231.3085
2.0,44.8108,-279.3515,-234.5407
2.1666666666666665,41.877399999999994,-279.3515,-237.4741
2.333333333333333,39.73389999999998,-279.3515,-239.6176
2.5,37.928799999999995,-279.3515,-241.4227
2.6666666666666665,35.859399999999994,-279.3515,-243.4921
2.833333333333333,33.921099999999996,-279.3515,-245.4304
3.0,32.33109999999999,-279.3515,-247.0204
3.1666666666666665,30.893299999999982,-279.3515,-248.4582
3.333333333333333,29.289699999999982,-279.3515,-250.0618
3.5,27.516899999999993,-279.3515,-251.8346
3.6666666666666665,25.84819999999999,-279.3515,-253.5033
3.833333333333333,24.179699999999997,-279.3515,-255.1718
4.0,22.549699999999973,-279.3515,-256.8018
4.166666666666666,21.007000000000005,-279.3515,-258.3445
4.333333333333333,19.636199999999974,-279.3515,-259.7153
4.5,18.281900000000007,-279.3515,-261.0696
4.666666666666666,17.133199999999988,-279.3515,-262.2183
4.833333333333333,16.169899999999984,-279.3515,-263.1816
5.0,15.150800000000004,-279.3515,-264.2007
5.166666666666666,14.235500000000002,-279.3515,-265.116
5.333333333333333,13.55129999999997,-279.3515,-265.8002
5.5,13.053799999999967,-279.3515,-266.2977
5.666666666666666,12.45229999999998,-279.3515,-266.8992
5.833333333333333,11.778999999999996,-279.3515,-267.5725
6.0,11.217299999999966,-279.3515,-268.1342
6.166666666666666,10.670999999999992,-279.3515,-268.6805
6.333333333333333,10.017499999999984,-279.3515,-269.334
6.5,9.31469999999996,-279.3515,-270.0368
6.666666666666666,8.602100000000007,-279.3515,-270.7494
6.833333333333333,7.9080000000000155,-279.3515,-271.4435
7.0,7.2149,-279.3515,-272.1366
7.166666666666666,6.545099999999991,-279.3515,-272.8064
7.333333333333333,5.96429999999998,-279.3515,-273.3872
7.5,5.393899999999974,-279.3515,-273.9576
7.666666666666666,4.91519999999997,-279.3515,-274.4363
7.833333333333333,4.481999999999971,-279.3515,-274.8695
8.0,4.013800000000003,-279.3515,-275.3377
8.166666666666666,3.5663000000000125,-279.3515,-275.7852
8.333333333333332,3.164299999999969,-279.3515,-276.1872
8.5,2.8279999999999745,-279.3515,-276.5235
8.666666666666666,2.4773999999999887,-279.3515,-276.8741
8.833333333333332,2.1452999999999633,-279.3515,-277.2062
9.0,1.9250000000000114,-279.3515,-277.4265
9.166666666666666,1.633299999999963,-279.3515,-277.7182
9.333333333333332,1.3068000000000097,-279.3515,-278.0447
9.5,1.0459999999999923,-279.3515,-278.3055
9.666666666666666,0.8582999999999856,-279.3515,-278.4932
9.833333333333332,0.7133000000000038,-279.3515,-278.6382
10.0,0.531599999999969,-279.3515,-278.8199
10.166666666666666,0.41669999999999163,-279.3515,-278.9348
10.333333333333332,0.2978999999999701,-279.3515,-279.0536
