Contrail_Age_hours,SW_Radiative_Forcing_W_m2,SW_RF_CLEAR_W_m2,SW_RF_CONTRAIL_W_m2
0.0,-519.5209,876.1829,356.662
0.1666666666666666,-111.95060000000001,876.1829,764.2323
0.3333333333333333,-60.12530000000004,876.1829,816.0576
0.5,-56.3347,876.1829,819.8482
0.6666666666666666,-62.44659999999999,876.1829,813.7363
0.8333333333333333,-67.54669999999999,876.1829,808.6362
1.0,-66.92309999999998,876.1829,809.2598
1.1666666666666663,-65.2953,876.1829,810.8876
1.3333333333333333,-62.96780000000001,876.1829,813.2151
1.5,-59.406900000000064,876.1829,816.776
1.6666666666666663,-55.45010000000002,876.1829,820.7328
1.8333333333333333,-52.38549999999998,876.1829,823.7974
2.0,-49.537199999999984,876.1829,826.6457
2.1666666666666665,-46.892400000000066,876.1829,829.2905
2.333333333333333,-44.36480000000006,876.1829,831.8181
2.5,-41.392900000000054,876.1829,834.79
2.6666666666666665,-38.97289999999998,876.1829,837.21
2.833333333333333,-36.551000000000045,876.1829,839.6319
3.0,-34.883699999999976,876.1829,841.2992
3.1666666666666665,-33.43420000000003,876.1829,842.7487
3.333333333333333,-31.98440000000005,876.1829,844.1985
3.5,-30.351800000000026,876.1829,845.8311
3.6666666666666665,-28.411000000000058,876.1829,847.7719
3.833333333333333,-26.481300000000033,876.1829,849.7016
4.0,-24.96410000000003,876.1829,851.2188
4.166666666666666,-23.56860000000006,876.1829,852.6143
4.333333333333333,-22.322900000000004,876.1829,853.86
4.5,-20.779600000000073,876.1829,855.4033
4.666666666666666,-19.497299999999996,876.1829,856.6856
4.833333333333333,-18.389499999999998,876.1829,857.7934
5.0,-17.295399999999972,876.1829,858.8875
5.166666666666666,-16.27170000000001,876.1829,859.9112
5.333333333333333,-15.389400000000023,876.1829,860.7935
5.5,-14.649700000000053,876.1829,861.5332
5.666666666666666,-13.893800000000056,876.1829,862.2891
5.833333333333333,-13.279499999999985,876.1829,862.9034
6.0,-12.697999999999979,876.1829,863.4849
6.166666666666666,-12.172300000000064,876.1829,864.0106
6.333333333333333,-11.756200000000035,876.1829,864.4267
6.5,-11.345900000000029,876.1829,864.837
6.666666666666666,-10.886600000000044,876.1829,865.2963
6.833333333333333,-10.327200000000062,876.1829,865.8557
7.0,-9.739900000000034,876.1829,866.443
7.166666666666666,-9.175399999999968,876.1829,867.0075
7.333333333333333,-8.661200000000008,876.1829,867.5217
7.5,-8.2192,876.1829,867.9637
7.666666666666666,-7.797400000000039,876.1829,868.3855
7.833333333333333,-7.485400000000027,876.1829,868.6975
8.0,-7.0896000000000186,876.1829,869.0933
8.166666666666666,-6.705600000000004,876.1829,869.4773
8.333333333333332,-6.34680000000003,876.1829,869.8361
8.5,-6.018199999999979,876.1829,870.1647
8.666666666666666,-5.763500000000022,876.1829,870.4194
8.833333333333332,-5.565500000000043,876.1829,870.6174
9.0,-5.357200000000034,876.1829,870.8257
9.166666666666666,-5.150899999999979,876.1829,871.032
9.333333333333332,-4.946800000000053,876.1829,871.2361
9.5,-4.730599999999981,876.1829,871.4523
9.666666666666666,-4.5353999999999814,876.1829,871.6475
9.833333333333332,-4.2695999999999685,876.1829,871.9133
10.0,-4.010600000000068,876.1829,872.1723
10.166666666666666,-3.7659999999999627,876.1829,872.4169
10.333333333333332,-3.5347000000000435,876.1829,872.6482
10.5,-3.304100000000062,876.1829,872.8788
10.666666666666666,-3.066500000000019,876.1829,873.1164
10.833333333333332,-2.872799999999984,876.1829,873.3101
11.0,-2.679100000000062,876.1829,873.5038
11.166666666666666,-2.4891999999999825,876.1829,873.6937
11.333333333333332,-2.289800000000014,876.1829,873.8931
11.5,-2.09699999999998,876.1829,874.0859
11.666666666666666,-1.9378000000000384,876.1829,874.2451
11.833333333333332,-1.790300000000002,876.1829,874.3926
12.0,-1.6402000000000498,876.1829,874.5427
12.166666666666666,-1.4927999999999884,876.1829,874.6901
12.333333333333332,-1.3605000000000018,876.1829,874.8224
12.5,-1.2525000000000546,876.1829,874.9304
12.666666666666666,-1.1445999999999685,876.1829,875.0383
12.833333333333332,-1.0360000000000582,876.1829,875.1469
13.0,-0.9244999999999663,876.1829,875.2584
13.166666666666666,-0.8374000000000024,876.1829,875.3455
13.333333333333332,-0.7585000000000264,876.1829,875.4244
13.5,-0.6824000000000296,876.1829,875.5005
13.666666666666666,-0.6114000000000033,876.1829,875.5715
13.833333333333332,-0.5457000000000107,876.1829,875.6372
14.0,-0.490099999999984,876.1829,875.6928
14.166666666666666,-0.43860000000006494,876.1829,875.7443
14.333333333333332,-0.38620000000003074,876.1829,875.7967
14.5,-0.3406999999999698,876.1829,875.8422
14.666666666666666,-0.3000000000000682,876.1829,875.8829
14.833333333333332,-0.26300000000003365,876.1829,875.9199
15.0,-0.22509999999999764,876.1829,875.9578
15.166666666666666,-0.1856000000000222,876.1829,875.9973
15.333333333333332,-0.15460000000007312,876.1829,876.0283
15.5,-0.12239999999997053,876.1829,876.0605
15.666666666666666,-0.08990000000005693,876.1829,876.093
15.833333333333332,-0.06560000000001764,876.1829,876.1173
16.0,-0.02760000000000673,876.1829,876.1553
16.166666666666664,-0.021500000000060027,876.1829,876.1614
16.333333333333332,-0.016600000000039472,876.1829,876.1663
