Contrail_Age_hours,LW_Radiative_Forcing_W_m2,LW_RF_CLEAR_W_m2,LW_RF_CONTRAIL_W_m2
0.0,129.194,-279.3515,-150.1575
0.1666666666666666,64.0427,-279.3515,-215.3088
0.3333333333333333,41.01689999999999,-279.3515,-238.3346
0.5,38.97179999999997,-279.3515,-240.3797
0.6666666666666666,42.08159999999998,-279.3515,-237.2699
0.8333333333333333,45.1721,-279.3515,-234.1794
1.0,46.0086,-279.3515,-233.3429
1.1666666666666663,46.41489999999999,-279.3515,-232.9366
1.3333333333333333,46.35489999999999,-279.3515,-232.9966
1.5,45.689099999999996,-279.3515,-233.6624
1.6666666666666663,43.74759999999998,-279.3515,-235.6039
1.8333333333333333,42.10039999999998,-279.3515,-237.2511
2.0,40.533799999999985,-279.3515,-238.8177
2.1666666666666665,39.06279999999998,-279.3515,-240.2887
2.333333333333333,37.68299999999999,-279.3515,-241.6685
2.5,35.93629999999999,-279.3515,-243.4152
2.6666666666666665,34.431899999999985,-279.3515,-244.9196
2.833333333333333,32.879999999999995,-279.3515,-246.4715
3.0,31.73479999999998,-279.3515,-247.6167
3.1666666666666665,30.72059999999999,-279.3515,-248.6309
3.333333333333333,29.674799999999976,-279.3515,-249.6767
3.5,28.482399999999984,-279.3515,-250.8691
3.6666666666666665,27.01939999999999,-279.3515,-252.3321
3.833333333333333,25.521799999999985,-279.3515,-253.8297
4.0,24.290099999999995,-279.3515,-255.0614
4.166666666666666,23.137999999999977,-279.3515,-256.2135
4.333333333333333,22.08009999999996,-279.3515,-257.2714
4.5,20.79359999999997,-279.3515,-258.5579
4.666666666666666,19.704099999999983,-279.3515,-259.6474
4.833333333333333,18.74860000000001,-279.3515,-260.6029
5.0,17.800099999999986,-279.3515,-261.5514
5.166666666666666,16.900499999999965,-279.3515,-262.451
5.333333333333333,16.117999999999995,-279.3515,-263.2335
5.5,15.468099999999993,-279.3515,-263.8834
5.666666666666666,14.798699999999997,-279.3515,-264.5528
5.833333333333333,14.233000000000004,-279.3515,-265.1185
6.0,13.693299999999965,-279.3515,-265.6582
6.166666666666666,13.197799999999972,-279.3515,-266.1537
6.333333333333333,12.790500000000009,-279.3515,-266.561
6.5,12.388300000000015,-279.3515,-266.9632
6.666666666666666,11.93610000000001,-279.3515,-267.4154
6.833333333333333,11.37869999999998,-279.3515,-267.9728
7.0,10.798000000000002,-279.3515,-268.5535
7.166666666666666,10.235500000000002,-279.3515,-269.116
7.333333333333333,9.723299999999995,-279.3515,-269.6282
7.5,9.286000000000001,-279.3515,-270.0655
7.666666666666666,8.8673,-279.3515,-270.4842
7.833333333333333,8.547699999999963,-279.3515,-270.8038
8.0,8.156000000000006,-279.3515,-271.1955
8.166666666666666,7.7736999999999625,-279.3515,-271.5778
8.333333333333332,7.413000000000011,-279.3515,-271.9385
8.5,7.078800000000001,-279.3515,-272.2727
8.666666666666666,6.806499999999971,-279.3515,-272.545
8.833333333333332,6.5926000000000045,-279.3515,-272.7589
9.0,6.3682999999999765,-279.3515,-272.9832
9.166666666666666,6.145600000000002,-279.3515,-273.2059
9.333333333333332,5.924800000000005,-279.3515,-273.4267
9.5,5.689699999999959,-279.3515,-273.6618
9.666666666666666,5.475099999999998,-279.3515,-273.8764
9.833333333333332,5.175799999999981,-279.3515,-274.1757
10.0,4.882200000000012,-279.3515,-274.4693
10.166666666666666,4.603000000000009,-279.3515,-274.7485
10.333333333333332,4.336900000000014,-279.3515,-275.0146
10.5,4.069899999999961,-279.3515,-275.2816
10.666666666666666,3.794899999999984,-279.3515,-275.5566
10.833333333333332,3.565499999999986,-279.3515,-275.786
11.0,3.3355999999999995,-279.3515,-276.0159
11.166666666666666,3.1093999999999937,-279.3515,-276.2421
11.333333333333332,2.872599999999977,-279.3515,-276.4789
11.5,2.6428999999999974,-279.3515,-276.7086
11.666666666666666,2.449099999999987,-279.3515,-276.9024
11.833333333333332,2.2678999999999974,-279.3515,-277.0836
12.0,2.0842999999999847,-279.3515,-277.2672
12.166666666666666,1.9033999999999764,-279.3515,-277.4481
12.333333333333332,1.7403999999999655,-279.3515,-277.6111
12.5,1.605700000000013,-279.3515,-277.7458
12.666666666666666,1.4710000000000036,-279.3515,-277.8805
12.833333333333332,1.3351999999999862,-279.3515,-278.0163
13.0,1.1959999999999695,-279.3515,-278.1555
13.166666666666666,1.0863999999999692,-279.3515,-278.2651
13.333333333333332,0.9861999999999966,-279.3515,-278.3653
13.5,0.8893999999999664,-279.3515,-278.4621
13.666666666666666,0.7985999999999649,-279.3515,-278.5529
13.833333333333332,0.7139999999999986,-279.3515,-278.6375
14.0,0.6420999999999708,-279.3515,-278.7094
14.166666666666666,0.5752999999999702,-279.3515,-278.7762
14.333333333333332,0.5076999999999998,-279.3515,-278.8438
14.5,0.4479000000000042,-279.3515,-278.9036
14.666666666666666,0.3947000000000003,-279.3515,-278.9568
14.833333333333332,0.3462000000000103,-279.3515,-279.0053
15.0,0.296799999999962,-279.3515,-279.0547
15.166666666666666,0.24559999999996762,-279.3515,-279.1059
15.333333333333332,0.205600000000004,-279.3515,-279.1459
15.5,0.1641999999999939,-279.3515,-279.1873
15.666666666666666,0.12290000000001555,-279.3515,-279.2286
15.833333333333332,0.08859999999998536,-279.3515,-279.2629
16.0,0.043299999999987904,-279.3515,-279.3082
16.166666666666664,0.03469999999998663,-279.3515,-279.3168
16.333333333333332,0.02780000000001337,-279.3515,-279.3237
