Contrail_Age_hours,EF_J_m
0.0,9992018.963847164
0.1666666666666666,18042069.430664167
0.3333333333333333,25446130.245488055
0.5,36031040.50362737
0.6666666666666666,50114935.228002965
0.8333333333333333,67382093.09798282
1.0,89168056.1226913
1.1666666666666663,114813229.5665387
1.3333333333333333,144878889.0930825
1.5,180076888.61992553
1.6666666666666663,219850698.9709422
1.8333333333333333,263628739.00871438
2.0,311329941.0528826
2.1666666666666665,362738093.1278865
2.333333333333333,417380984.2992982
2.5,474471385.7513931
2.6666666666666665,533458992.9188592
2.833333333333333,594144846.7379143
3.0,656434268.0042435
3.1666666666666665,720432448.0377353
3.333333333333333,786150885.0787014
3.5,853161573.0961721
3.6666666666666665,920915923.7652555
3.833333333333333,989325480.373027
4.0,1058422441.27462
4.166666666666666,1128053841.2070897
4.333333333333333,1197743868.9577472
4.5,1267147324.6470077
4.666666666666666,1335768333.5614674
4.833333333333333,1402554155.357217
5.0,1467053821.980157
5.166666666666666,1530951368.6780033
5.333333333333333,1596260788.885644
5.5,1663258640.592381
5.666666666666666,1731528012.134642
5.833333333333333,1800284239.8999705
6.0,1869025280.5063772
6.166666666666666,1937658478.3703156
6.333333333333333,2006040827.8049345
6.5,2074080884.783486
6.666666666666666,2141851530.7594507
6.833333333333333,2210176282.258867
7.0,2279765033.6864586
7.166666666666666,2350430797.1627274
7.333333333333333,2421726474.292189
7.5,2493345645.0213637
7.666666666666666,2565258479.0542917
7.833333333333333,2637247102.3395066
8.0,2709334923.126166
8.166666666666666,2781634363.848926
8.333333333333332,2853979563.535264
8.5,2926192789.6996756
8.666666666666666,2998108373.269099
8.833333333333332,3069584016.6396317
9.0,3140681716.2233324
9.166666666666666,3211604547.5037293
9.333333333333332,3282575167.6084657
9.5,3353522274.082301
9.666666666666666,3423882845.262005
9.833333333333332,3493298484.5052676
10.0,3561849757.1094813
10.166666666666666,3629747144.0134745
10.333333333333332,3698089624.4727106
10.5,3767710741.4602613
10.666666666666666,3837405564.6732893
10.833333333333332,3906084359.657015
11.0,3973714515.6677976
11.166666666666666,4040089385.4061303
11.333333333333332,4105019070.6368465
11.5,4168400629.493335
11.666666666666666,4230406088.0107555
11.833333333333332,4291310567.779349
12.0,4351114477.135912
12.166666666666666,4410450905.067726
12.333333333333332,4469973321.619163
12.5,4529581691.081826
12.666666666666666,4589025629.968999
12.833333333333332,4648193407.873106
13.0,4707162942.028423
13.166666666666666,4765737277.99199
13.333333333333332,4823649771.926006
13.5,4880801904.141908
13.666666666666666,4937141571.117126
13.833333333333332,4992697940.5462055
14.0,5047516851.98018
14.166666666666666,5101668769.186299
14.333333333333332,5155181347.456954
14.5,5207989429.295376
14.666666666666666,5259945344.170748
14.833333333333332,5311006344.364755
15.0,5361327392.0583
15.166666666666666,5410917691.104788
15.333333333333332,5459676349.042907
15.5,5507561483.094368
15.666666666666666,5554652482.320306
15.833333333333332,5601051824.872741
16.0,5646708955.199783
16.166666666666664,5691606840.079304
16.333333333333332,5735770521.392529
16.5,5779183658.612992
16.666666666666664,5821949007.689826
16.833333333333332,5864138543.929486
17.0,5905620582.972801
17.166666666666664,5946387592.566457
17.333333333333332,5986519847.73235
17.5,6025993060.892682
17.666666666666664,6064895735.2104025
