Contrail_Age_hours,EF_J_m
0.0,-4589316.979882508
0.1666666666666666,-7029448.9100108985
0.3333333333333333,-8747136.64024777
0.5,-11503298.624971202
0.6666666666666666,-15422111.052228661
0.8333333333333333,-20458488.37630573
1.0,-27293917.09491306
1.1666666666666663,-35653487.33515872
1.3333333333333333,-45906196.03979784
1.5,-58528858.41000751
1.6666666666666663,-73229320.4127658
1.8333333333333333,-89668061.54755
2.0,-107804970.03772257
2.1666666666666665,-127503993.49735078
2.333333333333333,-148161169.94292685
2.5,-168996767.31388324
2.6666666666666665,-189748851.89854273
2.833333333333333,-210313489.535931
3.0,-230656570.30260378
3.1666666666666665,-250939150.75742084
3.333333333333333,-271222537.9730343
3.5,-291276794.7167861
3.6666666666666665,-310811914.65639377
3.833333333333333,-329841943.2426805
4.0,-348455973.5462684
4.166666666666666,-366610078.2127212
4.333333333333333,-384111614.1696196
4.5,-400847484.3213981
4.666666666666666,-416667061.390184
4.833333333333333,-431209799.055539
5.0,-444403549.94927686
5.166666666666666,-456928083.81777793
5.333333333333333,-469522689.0385777
5.5,-482251093.8190348
5.666666666666666,-494908964.5849987
5.833333333333333,-507270449.4775518
6.0,-519210564.1171598
6.166666666666666,-530663765.73022926
6.333333333333333,-541523220.442048
6.5,-551756918.6618109
6.666666666666666,-561460111.9744514
6.833333333333333,-570927764.1021969
7.0,-580356971.353247
7.166666666666666,-589661523.3513674
7.333333333333333,-598786524.6348667
7.5,-607725639.7466323
7.666666666666666,-616462211.4902273
7.833333333333333,-624843500.4872406
8.0,-632878827.4107347
8.166666666666666,-640719053.6386945
8.333333333333332,-648367295.092651
8.5,-655750293.8611045
8.666666666666666,-662752839.5716625
8.833333333333332,-669308042.0693159
9.0,-675453976.5138227
9.166666666666666,-681260572.1106747
9.333333333333332,-686868497.6139448
9.5,-692339716.586714
9.666666666666666,-697476754.0995353
9.833333333333332,-702159801.9527344
10.0,-706480644.5883262
10.166666666666666,-710527623.7779288
10.333333333333332,-714444561.1313105
10.5,-718265581.4196159
10.666666666666666,-721824907.0260435
10.833333333333332,-725053491.7617872
11.0,-727939545.9916862
11.166666666666666,-730495239.9577565
11.333333333333332,-732764793.1280874
11.5,-734692689.4575878
11.666666666666666,-736359036.8311025
11.833333333333332,-737915892.2113485
12.0,-739347243.8365077
12.166666666666666,-740650502.1948788
12.333333333333332,-741846338.158254
12.5,-742926883.0477074
12.666666666666666,-743850470.8121754
12.833333333333332,-744617004.2870966
13.0,-745349604.5652639
13.166666666666666,-746074336.4778477
13.333333333333332,-746707361.8064042
13.5,-747187139.3345658
13.666666666666666,-747499260.7076241
13.833333333333332,-747689969.8472112
14.0,-747797501.2886388
14.166666666666666,-747869323.5684956
14.333333333333332,-747931964.9426548
14.5,-747951129.3590927
14.666666666666666,-747863387.8120075
14.833333333333332,-747678346.7224225
15.0,-747524845.0243785
15.166666666666666,-747376357.7546086
15.333333333333332,-747118363.5416263
15.5,-746744034.6091118
15.666666666666666,-746299779.8994328
15.833333333333332,-745829465.3536258
16.0,-745313317.3275758
16.166666666666664,-744716178.1218364
16.333333333333332,-744025765.6815026
16.5,-743266906.6267533
16.666666666666664,-742480453.8873767
16.833333333333332,-741676480.1760957
17.0,-740826825.5855627
17.166666666666664,-739930137.1126328
17.333333333333332,-739001513.3662922
17.5,-738041793.0579857
17.666666666666664,-737059594.5889053
17.833333333333332,-736059227.1596485
18.0,-735031980.3000423
18.166666666666664,-733970804.1748713
18.33333333333333,-732895639.7230977
18.5,-731838662.8267156
18.666666666666664,-730790622.4240457
18.83333333333333,-729737366.824833
19.0,-728686185.9589641
19.166666666666664,-727651124.4743141
19.33333333333333,-726632689.3937755
19.5,-725611529.5135858
19.666666666666664,-724583584.2487981
19.83333333333333,-723561337.0960076
20.0,-722556312.5722032
20.166666666666664,-721561809.480586
20.33333333333333,-720574864.5371779
20.5,-719604290.2855299
20.666666666666664,-718645328.8202382
20.83333333333333,-717691075.2083548
21.0,-716742202.9831402
21.166666666666664,-715805533.8223584
21.33333333333333,-714881574.7489018
