Time_hours,IWC_g_per_m3
0.0,0.06462780975089948
0.16666666666666666,0.0004620279901889579
0.3333333333333333,0.000179913273031673
0.5,0.00014546238309015135
0.6666666666666666,0.0001627904303021738
0.8333333333333333,0.00018689028213781064
1.0,0.0002037275586081941
1.1666666666666665,0.0002194706779393194
1.3333333333333333,0.00023142757042634088
1.5,0.00023932513832987428
1.6666666666666665,0.00023520319205127914
1.8333333333333333,0.0002318673849714808
2.0,0.00022912311854869538
2.1666666666666665,0.00022588103949340685
2.333333333333333,0.00022216845360190193
2.5,0.00021499289430228157
2.6666666666666665,0.0002074471899163817
2.833333333333333,0.00019960780348699336
3.0,0.00019267685780507258
3.1666666666666665,0.00018791424255257255
3.333333333333333,0.0001824170952402051
3.5,0.00017620657178997744
3.6666666666666665,0.00016775018382404356
3.833333333333333,0.0001587261339492903
4.0,0.00015044339733738058
4.166666666666666,0.000142646319933346
4.333333333333333,0.00013515362028704802
4.5,0.00012747668712208228
4.666666666666666,0.00012107272004369285
4.833333333333333,0.00011557777628189847
5.0,0.00011044244800898067
5.166666666666666,0.00010562995556914335
5.333333333333333,0.00010163998310314247
5.5,9.891776283178089e-05
5.666666666666666,9.614232877357007e-05
5.833333333333333,9.33333324681961e-05
6.0,9.068628403937265e-05
6.166666666666666,8.938425391256401e-05
6.333333333333333,8.812857377926456e-05
6.5,8.688754097439733e-05
6.666666666666666,8.519814890832815e-05
6.833333333333333,8.249528567539092e-05
7.0,7.984201599455895e-05
7.166666666666666,7.723445821654422e-05
7.333333333333333,7.507938446084013e-05
7.5,7.364198499860942e-05
7.666666666666666,7.231860585314795e-05
7.833333333333333,7.127553696132433e-05
8.0,7.026360757768918e-05
8.166666666666666,6.981840565401762e-05
8.333333333333332,6.937997118899956e-05
8.5,6.905498771084819e-05
8.666666666666666,6.879417753294691e-05
8.833333333333332,6.881159972447234e-05
9.0,6.88445252977843e-05
9.166666666666666,6.993174347253072e-05
9.333333333333332,7.110748083526078e-05
9.5,7.219171294480764e-05
9.666666666666666,7.331406841194973e-05
9.833333333333332,7.289810338819151e-05
10.0,7.241792211992275e-05
10.166666666666666,7.590713000931324e-05
10.333333333333332,7.975008237064691e-05
10.5,8.381428937173523e-05
10.666666666666666,8.830848646689648e-05
10.833333333333332,9.331674898653384e-05
11.0,9.893350503785901e-05
11.166666666666666,0.00010527804389999588
11.333333333333332,0.00011254223462160958
11.5,0.00012116511688724024
11.666666666666666,0.0001312322273227946
11.833333333333332,0.00014328995834861965
12.0,0.00015820927765303764
