Tempearture [C],Temperature [K],IWC [g/m3]
-70.55403157,202.5959684,0.00027205
-70.56290056,202.5870994,0.000201146
-70.56528836,202.5847116,0.000158825
-70.56528836,202.5847116,0.000103331
-70.56528836,202.5847116,6.39683E-05
-70.49962373,202.6503763,0.001665592
-70.49399534,202.6560047,9.22753E-05
-70.48649081,202.6635092,2.3883E-05
-70.46022496,202.689775,0.002124466
-70.43395911,202.7160409,0.00011948
-70.46397722,202.6860228,7.58267E-05
-70.43395911,202.7160409,0.00427341
-70.40769326,202.7423067,5.25255E-05
-70.33473256,202.8152674,0.000560032
-70.40769326,202.7423067,2.86704E-05
-70.31388665,202.8361134,0.000942724
-70.43395911,202.7160409,0.000892439
-70.27636401,202.873636,0.000355808
-70.30262986,202.8473701,0.000141866
-70.29137306,202.8586269,4.41911E-05
-70.25009816,202.8999018,0.000659026
-70.27636401,202.873636,0.000388307
-70.27636401,202.873636,0.000258375
-70.25009816,202.8999018,0.000206699
-70.23133683,202.9186632,0.000159229
-70.24134287,202.9086571,6.89975E-05
-70.25009816,202.8999018,1.21758E-05
-70.27636401,202.873636,0.007678531
-70.20632174,202.9436783,0.001792026
-70.30262986,202.8473701,0.001619847
-70.22383231,202.9261677,0.001119049
-70.1713006,202.9786994,0.000577887
-70.1713006,202.9786994,9.04346E-05
-70.28949693,202.8605031,2.38413E-05
-70.15160122,202.9983988,0.000124711
-70.25009816,202.8999018,0.000111314
-70.08124626,203.0687537,0.000804253
-70.09250305,203.0574969,5.29645E-05
-70.12927524,203.0207248,1.02952E-05
-70.0662372,203.0837628,0.001350365
-70.03997135,203.1100286,0.00052035
-70.09250305,203.0574969,0.000892343
-70.00057258,203.1494274,0.000341253
-70.00057258,203.1494274,0.000287755
-69.98368739,203.1663126,4.29914E-05
-69.91614663,203.2338534,0.000222547
-69.98743965,203.1625603,0.000195015
-69.92440161,203.2255984,0.000164831
-69.95066746,203.1993325,0.000145626
-69.93490795,203.215092,6.94689E-05
-69.94804088,203.2019591,1.19161E-05
-69.98743965,203.1625603,0.003784892
-69.98743965,203.1625603,0.000604736
-69.9086421,203.2413579,9.43686E-05
-69.84560406,203.3043959,0.000395981
-69.77731285,203.3726872,0.00077979
-69.77731285,203.3726872,5.1119E-05
-69.8561104,203.2938896,0.001336701
-69.67224945,203.4777506,0.000534276
-69.72478115,203.4252189,2.18017E-05
-69.77731285,203.3726872,0.000306338
-69.65123677,203.4987632,0.000110286
-69.751047,203.398953,4.07917E-05
-69.59870507,203.5512949,0.00043059
-69.61971775,203.5302823,0.000243126
-69.60777872,203.5422213,0.000202458
-69.61971775,203.5302823,0.000173192
-69.63847907,203.5115209,0.000146836
-69.60846095,203.541539,7.79142E-05
-69.61971775,203.5302823,6.45988E-05
-69.72478115,203.4252189,3.48191E-05
-69.751047,203.398953,1.6319E-05
-69.61971775,203.5302823,1.18498E-05
-69.54842472,203.6015753,0.000131386
-69.5934519,203.5565481,9.68548E-05
-69.5409202,203.6090798,0.00277785
-69.51465435,203.6353457,0.001034704
-69.49889483,203.6511052,2.79332E-05
-69.44753051,203.7024695,0.00075898
-69.45018362,203.6998164,5.07395E-05
-69.40959094,203.7404091,0.00251331
-69.43585679,203.7141432,0.000551514
-69.40959094,203.7404091,0.000484925
-69.34989583,203.8001042,0.000117588
-69.36231241,203.7876876,8.64412E-05
-69.29258852,203.8574115,0.002080883
