Contrail_Age_hours,SW_Radiative_Forcing_W_m2,SW_RF_CLEAR_W_m2,SW_RF_CONTRAIL_W_m2
0.0,-599.8902,876.1829,276.2927
0.1666666666666666,-147.75080000000003,876.1829,728.4321
0.3333333333333333,-55.52520000000004,876.1829,820.6577
0.5,-46.376499999999965,876.1829,829.8064
0.6666666666666666,-58.60509999999999,876.1829,817.5778
0.8333333333333333,-52.464000000000055,876.1829,823.7189
1.0,-59.59140000000002,876.1829,816.5915
1.1666666666666663,-61.99279999999999,876.1829,814.1901
1.3333333333333333,-63.30140000000006,876.1829,812.8815
1.5,-67.78449999999998,876.1829,808.3984
1.6666666666666663,-71.10670000000005,876.1829,805.0762
1.8333333333333333,-71.91300000000001,876.1829,804.2699
2.0,-72.57749999999999,876.1829,803.6054
2.1666666666666665,-72.69259999999997,876.1829,803.4903
2.333333333333333,-72.53020000000004,876.1829,803.6527
2.5,-70.86750000000006,876.1829,805.3154
2.6666666666666665,-68.2228,876.1829,807.9601
2.833333333333333,-65.56680000000006,876.1829,810.6161
3.0,-63.02769999999998,876.1829,813.1552
3.1666666666666665,-60.89840000000004,876.1829,815.2845
3.333333333333333,-59.06209999999999,876.1829,817.1208
3.5,-57.40880000000004,876.1829,818.7741
3.6666666666666665,-55.19130000000007,876.1829,820.9916
3.833333333333333,-52.83820000000003,876.1829,823.3447
4.0,-50.79129999999998,876.1829,825.3916
4.166666666666666,-48.92669999999998,876.1829,827.2562
4.333333333333333,-47.08190000000002,876.1829,829.101
4.5,-44.78530000000001,876.1829,831.3976
4.666666666666666,-42.670799999999986,876.1829,833.5121
4.833333333333333,-40.039800000000014,876.1829,836.1431
5.0,-36.98969999999997,876.1829,839.1932
5.166666666666666,-34.163599999999974,876.1829,842.0193
5.333333333333333,-33.576599999999985,876.1829,842.6063
5.5,-33.40600000000006,876.1829,842.7769
5.666666666666666,-33.14499999999998,876.1829,843.0379
5.833333333333333,-32.4212,876.1829,843.7617
6.0,-31.418300000000045,876.1829,844.7646
6.166666666666666,-30.37110000000007,876.1829,845.8118
